firstName,lastName,pidType,pid,email,role,level,status,startDate,endDate
Zyra,,Badge,4421,zyra@idzoo.org,Admin,Alpha,Active,2023-01-12,
Marek,Solari,Passport,88321,marek.solari@idzoo.org,Field,Eclipse,OnLeave,2022-11-03,2024-02-10
Luneth,,Glyph,22991,luneth@idzoo.org,Rift,Omega,Active,2024-05-20,
Tavira,Quell,Badge,55210,tavira.quell@idzoo.org,Trainer,Alpha,Terminated,2021-03-14,2023-09-01
Orin,,Passport,77102,orin@idzoo.org,Astral,Eclipse,Active,2023-07-08,
Selka,Vorrin,Runecard,99210,selka.vorrin@idzoo.org,Field,Omega,OnLeave,2022-04-19,2022-12-30
Jex,Harro,Badge,11820,jex.harro@idzoo.org,Rift,Alpha,Active,2024-01-01,
Veyla,,Passport,33019,veyla@idzoo.org,Trainer,Eclipse,Active,2023-10-22,
Korrin,Mythos,Charm,55291,korrin.mythos@idzoo.org,Astral,Omega,Terminated,2020-06-11,2021-01-05
Rhyss,,Badge,88210,rhyss@idzoo.org,Field,Alpha,Active,2024-03-02,
Ilyra,Shade,Passport,44192,ilyra.shade@idzoo.org,Rift,Eclipse,OnLeave,2023-02-14,2023-08-20
Draxen,,Glyph,77110,draxen@idzoo.org,Trainer,Omega,Active,2022-09-09,
Fenra,Vor,Badge,66102,fenra.vor@idzoo.org,Astral,Alpha,Terminated,2021-12-01,2022-05-17
Quorin,,Passport,11920,quorin@idzoo.org,Field,Eclipse,Active,2024-04-15,
Selyx,Trenn,Charm,88211,selyx.trenn@idzoo.org,Rift,Omega,OnLeave,2022-07-07,2023-01-12
Varo,,Badge,22019,varo@idzoo.org,Trainer,Alpha,Active,2023-11-30,
Nymera,Sol,Badge,99102,nymera.sol@idzoo.org,Astral,Eclipse,Active,2024-02-18,
Keth,,Passport,55210,keth@idzoo.org,Field,Omega,Terminated,2020-10-10,2021-03-22
Olyx,Harven,Runecard,33109,olyx.harven@idzoo.org,Rift,Alpha,OnLeave,2023-05-01,2023-12-01
Tirra,,Glyph,44021,tirra@idzoo.org,Admin,Eclipse,Active,2024-06-12,
